SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR1370619	Brain	7.13078	3.56539	0.25
SRR1431602	Heart	16.2442	8.42293	0.25926
SRR1105296	Esophagus	28.9451	15.1962	0.2625
SRR1406048	Skin	7.04488	3.52244	0.25
SRR1352683	Lung	28.3148	14.8653	0.262501
SRR1392434	Heart	7.01334	3.50667	0.25
SRR1381161	Lung	60.2005	31.8708	0.264705
SRR1338219	Brain	6.98638	3.49319	0.25
SRR1420320	Blood	21.7322	11.36	0.261363
SRR1361326	Adipose Tissue	6.9653	3.48265	0.25
SRR1070863	Thyroid	19.652	10.2532	0.260869
SRR1402922	Thyroid	6.93507	3.46754	0.25
SRR1323422	Blood	114.428	60.8349	0.265822
SRR1406307	Thyroid	15.3581	7.96346	0.259259
SRR1082544	Pancreas	6.89863	3.44932	0.25
SRR1453950	Blood Vessel	30.7249	16.171	0.263158
SRR1328869	Blood	64.1507	34.0193	0.265151
SRR1383883	Skin	16.6945	8.68117	0.260001
SRR656782	Blood	25.8349	13.5633	0.2625
SRR1447082	Skin	16.6067	8.63548	0.26
SRR608512	Thyroid	25.5197	13.3978	0.262499
SRR1431823	Salivary Gland	6.82513	3.41257	0.25
SRR1348040	Muscle	6.78831	3.39415	0.25
SRR1070888	Skin	16.2156	8.43212	0.26
SRR810981	Blood	116.171	61.8467	0.266188
SRR1381185	Salivary Gland	6.75798	3.37899	0.25
SRR1097642	Skin	63.047	33.4694	0.265432
SRR1432476	Testis	6.73062	3.36531	0.25
SRR1346909	Adipose Tissue	15.8949	8.26537	0.260001
SRR1445449	Bone Marrow	42.2448	22.3649	0.264706
SRR1500908	Thyroid	17.6349	9.20084	0.26087
SRR1409721	Thyroid	34.9367	18.4571	0.264151
SRR1408415	Ovary	14.0578	7.28922	0.259259
SRR816451	Skin	48.8919	25.9275	0.265151
SRR1486391	Blood	81.3667	43.3251	0.266234
SRR1326449	Small Intestine	15.1514	7.87874	0.26
SRR1477125	Stomach	6.57313	3.28656	0.25
SRR1408249	Muscle	6.53479	3.2674	0.25
SRR1338171	Heart	6.5324	3.2662	0.25
SRR1334461	Spleen	14.932	7.76463	0.26
SRR1478251	Adipose Tissue	6.5104	3.2552	0.25
SRR614779	Skin	6.50531	3.25265	0.25
SRR1309578	Thyroid	16.5442	8.63178	0.26087
SRR1477634	Brain	6.48558	3.24279	0.25
SRR1442885	Brain	6.47956	3.23978	0.25
SRR627423	Blood	6.46811	3.23406	0.25
SRR1083191	Stomach	16.3864	8.54941	0.260869
SRR1485521	Adipose Tissue	16.3051	8.50703	0.26087
SRR1076343	Blood Vessel	35.2515	18.6626	0.264706
SRR602217	Blood	26.4312	13.9365	0.263637
SRR602871	Brain	14.2901	7.43084	0.26
